id,code,name,category_id/id,type,parent_id/id,budget_assignment_allowed
sipreco_public_budget.budg_position_1410,02.05.07,Específicos Veterinarios,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1420,02.05.08,Productos de Material Plástico,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1430,02.05.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_110,False
sipreco_public_budget.budg_position_1440,02.06.01,Productos de Arcilla y Cerámica,pos_categ_expense,normal,sipreco_public_budget.budg_position_120,False
sipreco_public_budget.budg_position_1450,02.06.02,Productos de Vidrio,pos_categ_expense,normal,sipreco_public_budget.budg_position_120,False
sipreco_public_budget.budg_position_1460,02.06.03,Productos de Loza y Porcelana,pos_categ_expense,normal,sipreco_public_budget.budg_position_120,False
sipreco_public_budget.budg_position_1470,02.06.04,"Productos de Cemento, Asbesto y Yeso",pos_categ_expense,normal,sipreco_public_budget.budg_position_120,False
sipreco_public_budget.budg_position_1480,02.06.05,"Cemento, Cal y Yeso",pos_categ_expense,normal,sipreco_public_budget.budg_position_120,False
sipreco_public_budget.budg_position_1490,02.06.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_120,False
sipreco_public_budget.budg_position_1500,02.07.01,Productos Ferrosos,pos_categ_expense,normal,sipreco_public_budget.budg_position_130,False
sipreco_public_budget.budg_position_1510,02.07.02,Productos No Ferrosos,pos_categ_expense,normal,sipreco_public_budget.budg_position_130,False
sipreco_public_budget.budg_position_1520,02.07.03,Material de Guerra,pos_categ_expense,normal,sipreco_public_budget.budg_position_130,False
sipreco_public_budget.budg_position_1530,02.07.04,Estructuras Metálicas Acabadas,pos_categ_expense,normal,sipreco_public_budget.budg_position_130,False
sipreco_public_budget.budg_position_1540,02.07.05,Herramientas Menores,pos_categ_expense,normal,sipreco_public_budget.budg_position_130,False
sipreco_public_budget.budg_position_1550,02.07.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_130,False
sipreco_public_budget.budg_position_1560,02.08.04,"Piedra, Arcilla y Arena",pos_categ_expense,normal,sipreco_public_budget.budg_position_140,False
sipreco_public_budget.budg_position_1570,02.08.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_140,False
sipreco_public_budget.budg_position_1580,02.09.01,Elementos de Limpieza,pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1590,02.09.02,"Utiles de Escritorio, Oficina y Enseñanza",pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1600,02.09.03,Utiles y Materiales Eléctricos,pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1610,02.09.04,Utensilios de Cocina y Comedor,pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1620,02.09.05,"Utiles Menores Médicos, Quirúrgicos y de Lab.",pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1630,02.09.06,Repuestos y Accesorios,pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1640,02.09.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_150,False
sipreco_public_budget.budg_position_1650,03.01.01,Energía Eléctrica,pos_categ_expense,normal,sipreco_public_budget.budg_position_170,False
sipreco_public_budget.budg_position_1660,03.01.02,Agua y Servicios Sanitarios,pos_categ_expense,normal,sipreco_public_budget.budg_position_170,False
sipreco_public_budget.budg_position_1670,03.01.03,Gas,pos_categ_expense,normal,sipreco_public_budget.budg_position_170,False
sipreco_public_budget.budg_position_1680,03.01.04,"Teléfonos, Telex y Telefax",pos_categ_expense,normal,sipreco_public_budget.budg_position_170,False
sipreco_public_budget.budg_position_1690,03.01.05,Correos y Telégrafos,pos_categ_expense,normal,sipreco_public_budget.budg_position_170,False
sipreco_public_budget.budg_position_1700,03.01.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_170,False
sipreco_public_budget.budg_position_1710,03.02.01,Alquiler de Edificios y Locales,pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1720,03.02.02,"Alquiler de Máquinas, Equipo y Medios de Transporte",pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1730,03.02.03,Alquiler de Equipos de Computación,pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1740,03.02.04,Alquiler de Fotocopiadoras,pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1750,03.02.05,Arrendamiento de Tierras y Terrenos,pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1760,03.02.06,Derechos de Bienes Intangibles,pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1770,03.02.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_180,False
sipreco_public_budget.budg_position_1780,03.03.01,Mantenimiento y Reparación de Edificios y Locales,pos_categ_expense,normal,sipreco_public_budget.budg_position_190,False
sipreco_public_budget.budg_position_1790,03.03.02,Mantenimiento y Reparación de Vehículos,pos_categ_expense,normal,sipreco_public_budget.budg_position_190,False
sipreco_public_budget.budg_position_1800,03.03.03,Mantenimiento y Reparación de Maquinaria y Equipo,pos_categ_expense,normal,sipreco_public_budget.budg_position_190,False
sipreco_public_budget.budg_position_1810,03.03.04,"Limpieza, Aseo y Fumigación de Edificios y Locales",pos_categ_expense,normal,sipreco_public_budget.budg_position_190,False
sipreco_public_budget.budg_position_1820,03.03.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_190,False
sipreco_public_budget.budg_position_1830,03.04.01,"Estudios, Investigación y Proyectos de Factibilidad",pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1840,03.04.02,"Médicos, Sanitarios y Asistenciales",pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1850,03.04.03,Jurídicos,pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1860,03.04.04,"Contabilidad, Auditoría y Administración",pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1870,03.04.05,De Capacitación y Educación,pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1880,03.04.06,De Informática y Sistemas de Información,pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1890,03.04.07,De Cultura y Turismo,pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1900,03.04.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_200,False
sipreco_public_budget.budg_position_1910,03.05.01,Transporte,pos_categ_expense,normal,sipreco_public_budget.budg_position_210,False
sipreco_public_budget.budg_position_1920,03.05.03,"Imprenta, Publicaciones y Reproducciones",pos_categ_expense,normal,sipreco_public_budget.budg_position_210,False
sipreco_public_budget.budg_position_1930,03.05.04,Primas y Gastos de Seguros,pos_categ_expense,normal,sipreco_public_budget.budg_position_210,False
sipreco_public_budget.budg_position_1940,03.05.05,Comisiones y Gastos Bancarios,pos_categ_expense,normal,sipreco_public_budget.budg_position_210,False
sipreco_public_budget.budg_position_1950,03.05.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_210,False
sipreco_public_budget.budg_position_1960,03.07.01,Publicidad y Propaganda,pos_categ_expense,normal,sipreco_public_budget.budg_position_230,False
sipreco_public_budget.budg_position_1970,03.08.01,Impuestos Directos e Indirectos,pos_categ_expense,normal,sipreco_public_budget.budg_position_240,False
sipreco_public_budget.budg_position_1980,03.08.02,Tasas y Derechos,pos_categ_expense,normal,sipreco_public_budget.budg_position_240,False
sipreco_public_budget.budg_position_1990,03.08.03,"Multas, Recargos e Intereses P/Mora e Indemniz.",pos_categ_expense,normal,sipreco_public_budget.budg_position_240,False
sipreco_public_budget.budg_position_2000,03.08.05,Gastos Judiciales,pos_categ_expense,normal,sipreco_public_budget.budg_position_240,False
sipreco_public_budget.budg_position_2010,03.08.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_240,False
sipreco_public_budget.budg_position_2020,03.09.01,Servicio de Ceremonial y Protocolo,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2030,03.09.02,Gastos Reservados,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2040,03.09.03,Servicios de Vigilancia,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2050,03.09.04,Viáticos y Movilidad,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2060,03.09.05,Cursos y Congresos,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2070,03.09.06,Reconocimiento Gastos Procuradores,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2080,03.09.07,Premios por Concursos y Otros,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2090,03.09.09,Otros No Especificados,pos_categ_expense,normal,sipreco_public_budget.budg_position_250,False
sipreco_public_budget.budg_position_2100,03.99.10,Servicios No Personales a Discriminar,pos_categ_expense,normal,sipreco_public_budget.budg_position_260,False
sipreco_public_budget.budg_position_2110,04.01.01,Tierras y Terrenos,pos_categ_expense,normal,sipreco_public_budget.budg_position_280,False
sipreco_public_budget.budg_position_2120,04.01.02,Edificios e instalaciones,pos_categ_expense,normal,sipreco_public_budget.budg_position_280,False
sipreco_public_budget.budg_position_2130,04.01.03,Otros Bienes Preexistentes,pos_categ_expense,normal,sipreco_public_budget.budg_position_280,False
sipreco_public_budget.budg_position_2140,04.03.02,"Equipo de Transporte, Tracción y Elevación",pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2150,04.03.04,Equipo de Comunicación y Señalamiento,pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2160,04.03.05,Equipo Educacional y Recreativo,pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2170,04.03.06,Equipo de Computación,pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2180,04.03.07,Equipamiento y Mobiliario,pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2190,04.03.08,Herramientas y Repuestos Mayores,pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2200,04.03.09,Otras Maquinarias y Equipos Sin Discriminar,pos_categ_expense,normal,sipreco_public_budget.budg_position_290,False
sipreco_public_budget.budg_position_2210,04.05.01,Colecciones y Elem. P/Bibliotecas y Mapotecas,pos_categ_expense,normal,sipreco_public_budget.budg_position_300,False
sipreco_public_budget.budg_position_2220,04.05.02,Colecciones y Elementos P/Videotecas,pos_categ_expense,normal,sipreco_public_budget.budg_position_300,False
sipreco_public_budget.budg_position_2230,04.05.04,Otros Elementos Coleccionables No Especific.,pos_categ_expense,normal,sipreco_public_budget.budg_position_300,False
sipreco_public_budget.budg_position_2240,04.08.01,Software y Licencias de Computación,pos_categ_expense,normal,sipreco_public_budget.budg_position_310,False
sipreco_public_budget.budg_position_2250,04.08.02,Sistemas y Desarrollos Informáticos,pos_categ_expense,normal,sipreco_public_budget.budg_position_310,False
sipreco_public_budget.budg_position_2260,04.08.09,Otros Activos Intangibles,pos_categ_expense,normal,sipreco_public_budget.budg_position_310,False
sipreco_public_budget.budg_position_2270,05.01.03,Aportes Sociales y Culturales a Personas,pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2280,05.01.04,"Transf. a Inst.Enseñanza, Act.Científicas y/o Académicas",pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2290,05.01.05,Transf.a Inst.Cult.y Soc.Sin Fines de Lucro,pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2300,05.01.06,Transferencias a Cooperativas,pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2310,05.01.07,Transferencias a Empresas Privadas y Organizaciones Intermedias,pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2320,05.01.08,Becas,pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2330,05.01.09,Pasantías,pos_categ_expense,normal,sipreco_public_budget.budg_position_330,False
sipreco_public_budget.budg_position_2340,05.05.06,A Otras Instit. del Sector Público Provincial,pos_categ_expense,normal,sipreco_public_budget.budg_position_340,False
sipreco_public_budget.budg_position_2350,05.06.06,A Otras Instit. del Sector Público Provincial,pos_categ_expense,normal,sipreco_public_budget.budg_position_350,False
sipreco_public_budget.budg_position_2360,05.07.00,Transf.al Sector Público Munic.P/E.Corrientes,pos_categ_expense,normal,sipreco_public_budget.budg_position_360,False
